date,strategy,equity,drawdown
2025-07-25,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284965.0837901732,0.0
2025-07-26,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284965.0837901732,0.0
2025-07-27,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284965.0837901732,0.0
2025-07-28,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284965.0837901732,0.0
2025-07-29,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284359.5872704463,-0.002124809508847414
2025-07-30,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283093.1833860387,-0.006568876366315868
2025-07-31,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283093.1833860387,-0.006568876366315868
2025-08-01,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283093.1833860387,-0.006568876366315868
2025-08-02,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283093.1833860387,-0.006568876366315868
2025-08-03,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283093.1833860387,-0.006568876366315868
2025-08-04,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283093.1833860387,-0.006568876366315868
2025-08-05,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283093.1833860387,-0.006568876366315868
2025-08-06,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-07,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-08,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-09,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-10,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-11,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-12,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-13,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-14,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-15,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-16,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-17,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-18,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-19,RF_TOP_30_EXCLUDE_NEG_RATIO_50,284094.8714969648,-0.0030537505915956276
2025-08-20,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283021.625872331,-0.0068199861259957695
2025-08-21,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283021.625872331,-0.0068199861259957695
2025-08-22,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283021.625872331,-0.0068199861259957695
2025-08-23,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283021.625872331,-0.0068199861259957695
2025-08-24,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283021.625872331,-0.0068199861259957695
2025-08-25,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283021.625872331,-0.0068199861259957695
2025-08-26,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283021.625872331,-0.0068199861259957695
2025-08-27,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283021.625872331,-0.0068199861259957695
2025-08-28,RF_TOP_30_EXCLUDE_NEG_RATIO_50,283021.625872331,-0.0068199861259957695
2025-08-29,RF_TOP_30_EXCLUDE_NEG_RATIO_50,285831.614413762,0.0
2025-08-30,RF_TOP_30_EXCLUDE_NEG_RATIO_50,285831.614413762,0.0
2025-08-31,RF_TOP_30_EXCLUDE_NEG_RATIO_50,285831.614413762,0.0
2025-09-01,RF_TOP_30_EXCLUDE_NEG_RATIO_50,285831.614413762,0.0
2025-09-02,RF_TOP_30_EXCLUDE_NEG_RATIO_50,285831.614413762,0.0
2025-09-03,RF_TOP_30_EXCLUDE_NEG_RATIO_50,285831.614413762,0.0
2025-09-04,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.9355662002,0.0
2025-09-05,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.9355662002,0.0
2025-09-06,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.9355662002,0.0
2025-09-07,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.9355662002,0.0
2025-09-08,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-09,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-10,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-11,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-12,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-13,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-14,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-15,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-16,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-17,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-18,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-19,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-20,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-21,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-22,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-23,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-24,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287445.93556620023,0.0
2025-09-25,RF_TOP_30_EXCLUDE_NEG_RATIO_50,287615.66604298307,0.0
2025-09-26,RF_TOP_30_EXCLUDE_NEG_RATIO_50,289598.6689019719,0.0
2025-09-27,RF_TOP_30_EXCLUDE_NEG_RATIO_50,289598.6689019719,0.0
2025-09-28,RF_TOP_30_EXCLUDE_NEG_RATIO_50,289598.6689019719,0.0
2025-09-29,RF_TOP_30_EXCLUDE_NEG_RATIO_50,289598.6689019719,0.0
2025-09-30,RF_TOP_30_EXCLUDE_NEG_RATIO_50,289598.6689019719,0.0
2025-10-01,RF_TOP_30_EXCLUDE_NEG_RATIO_50,289202.48130916024,-0.0013680573681978947
2025-10-02,RF_TOP_30_EXCLUDE_NEG_RATIO_50,315121.38128416357,0.0
2025-10-03,RF_TOP_30_EXCLUDE_NEG_RATIO_50,315121.3812841636,0.0
2025-10-04,RF_TOP_30_EXCLUDE_NEG_RATIO_50,315121.3812841636,0.0
2025-10-05,RF_TOP_30_EXCLUDE_NEG_RATIO_50,315121.3812841636,0.0
2025-10-06,RF_TOP_30_EXCLUDE_NEG_RATIO_50,315121.3812841636,0.0
2025-10-07,RF_TOP_30_EXCLUDE_NEG_RATIO_50,315121.3812841636,0.0
2025-10-08,RF_TOP_30_EXCLUDE_NEG_RATIO_50,315078.51623255876,-0.00013602711256910371
2025-10-09,RF_TOP_30_EXCLUDE_NEG_RATIO_50,317296.84338471794,0.0
2025-10-10,RF_TOP_30_EXCLUDE_NEG_RATIO_50,317296.84338471794,0.0
2025-10-11,RF_TOP_30_EXCLUDE_NEG_RATIO_50,317296.84338471794,0.0
2025-10-12,RF_TOP_30_EXCLUDE_NEG_RATIO_50,317296.84338471794,0.0
2025-10-13,RF_TOP_30_EXCLUDE_NEG_RATIO_50,318968.0853065998,0.0
2025-10-14,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,0.0
2025-10-15,RF_TOP_30_EXCLUDE_NEG_RATIO_50,329594.67835554597,0.0
2025-10-16,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.02206916054,-0.004977799685878415
2025-10-17,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-18,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-19,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-20,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-21,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-22,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-23,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-24,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-25,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-26,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-27,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-28,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-29,RF_TOP_30_EXCLUDE_NEG_RATIO_50,327954.0220691605,-0.004977799685878637
2025-10-30,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.3974289748,-0.00942454818163152
2025-10-31,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.3974289748,-0.00942454818163152
2025-11-01,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.3974289748,-0.00942454818163152
2025-11-02,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.3974289748,-0.00942454818163152
2025-11-03,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.39742897474,-0.009424548181631631
2025-11-04,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.39742897474,-0.009424548181631631
2025-11-05,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.39742897474,-0.009424548181631631
2025-11-06,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.39742897474,-0.009424548181631631
2025-11-07,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.39742897474,-0.009424548181631631
2025-11-08,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.39742897474,-0.009424548181631631
2025-11-09,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.39742897474,-0.009424548181631631
2025-11-10,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.39742897474,-0.009424548181631631
2025-11-11,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.39742897474,-0.009424548181631631
2025-11-12,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.39742897474,-0.009424548181631631
2025-11-13,RF_TOP_30_EXCLUDE_NEG_RATIO_50,326488.39742897474,-0.009424548181631631
