fold,model,feature,importance
3,RandomForest,num__feat_regime_market_vol_20d_mean,0.19944731303361188
3,RandomForest,num__feat_regime_market_volume_rel_mean,0.05064562501538226
3,RandomForest,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_con_tk_cross,0.0006825318764929901
3,RandomForest,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_sin_tk_confirmado,0.0002358364083110973
3,RandomForest,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_tk_maduro,0.0005117462445089166
3,RandomForest,cat__feat_tk_confirmation_status_no_tk_confirmation_yet,0.0006038767218903938
3,RandomForest,cat__feat_tk_confirmation_status_tk_cross_up_recent,0.0001551280934667033
3,RandomForest,cat__feat_tk_confirmation_status_tk_mature_above_kijun_no_recent_cross,0.0006735131064633704
3,RandomForest,cat__feat_chikou_diagnostic_status_chikou_libre_sobre_precio_y_kumo_22ago,0.000753969325979694
3,RandomForest,cat__feat_chikou_diagnostic_status_chikou_no_confirmado_o_sin_historia,0.002468624000875831
3,RandomForest,cat__feat_chikou_diagnostic_status_chikou_parcial_sobre_close_22ago,0.0
3,XGBoost,num__feat_technical_priority_score,0.01976460963487625
3,XGBoost,num__feat_kumo_actual_thickness_pct_signal,0.019946902990341187
3,XGBoost,num__feat_volume_rel_signal,0.01871907152235508
3,XGBoost,num__feat_stoch_k_entry,0.026341009885072708
3,XGBoost,num__feat_stoch_d_entry,0.018404556438326836
3,XGBoost,num__feat_stoch_k_minus_d_entry,0.018376868218183517
3,XGBoost,num__feat_stoch_not_extreme_overbought,0.0
3,XGBoost,num__feat_tenkan_sobre_kijun,0.0
3,XGBoost,num__feat_tk_cross_up_today,0.017598729580640793
3,XGBoost,num__feat_tk_cross_up_recent,0.011893928050994873
3,XGBoost,num__feat_chikou_above_close_22ago,0.055182039737701416
3,XGBoost,num__feat_chikou_above_high_22ago,0.03288989141583443
3,XGBoost,num__feat_chikou_above_kumo_22ago,0.0
3,XGBoost,num__feat_dollar_volume_ma20,0.022559288889169693
3,XGBoost,num__feat_kumo_actual_thickness_abs,0.018973536789417267
3,XGBoost,num__feat_kumo_actual_thickness_pct_daily,0.01861090399324894
3,XGBoost,num__feat_volume_rel_daily,0.02084084413945675
3,XGBoost,num__feat_stoch_k_daily,0.020547298714518547
3,XGBoost,num__feat_stoch_d_daily,0.015168579295277596
3,XGBoost,num__feat_ret_5d_prior,0.019992759451270103
3,XGBoost,num__feat_ret_10d_prior,0.019148776307702065
3,XGBoost,num__feat_ret_20d_prior,0.01896071434020996
3,XGBoost,num__feat_volatility_20d_prior,0.02500085160136223
3,XGBoost,num__feat_dist_close_to_kijun_pct,0.02503581903874874
3,XGBoost,num__feat_dist_close_to_tenkan_pct,0.01902439258992672
3,XGBoost,num__feat_dist_close_to_kumo_top_pct,0.02359604462981224
3,XGBoost,num__feat_dist_close_to_kumo_bottom_pct,0.025747574865818024
3,XGBoost,num__feat_stoch_k_minus_d_daily,0.015247471630573273
3,XGBoost,num__feat_senkou_a_minus_b_pct,0.022631647065281868
3,XGBoost,num__feat_regime_breadth_precio_sobre_kumo,0.028941620141267776
3,XGBoost,num__feat_regime_breadth_kumo_actual_alcista,0.03254472464323044
3,XGBoost,num__feat_regime_breadth_kumo_futuro_alcista,0.033067986369132996
3,XGBoost,num__feat_regime_breadth_ha2_bullish,0.020569534972310066
3,XGBoost,num__feat_regime_breadth_tenkan_sobre_kijun,0.02681824378669262
3,XGBoost,num__feat_regime_breadth_chikou_sobre_kumo,0.03921528905630112
3,XGBoost,num__feat_regime_breadth_entry_events,0.02530471235513687
3,XGBoost,num__feat_regime_market_ret_5d_mean,0.02368885651230812
3,XGBoost,num__feat_regime_market_ret_20d_mean,0.0272829607129097
3,XGBoost,num__feat_regime_market_vol_20d_mean,0.05046720430254936
3,XGBoost,num__feat_regime_market_volume_rel_mean,0.033561449497938156
3,XGBoost,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_con_tk_cross,0.0
3,XGBoost,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_sin_tk_confirmado,0.0
3,XGBoost,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_tk_maduro,0.019076330587267876
3,XGBoost,cat__feat_tk_confirmation_status_no_tk_confirmation_yet,0.0
3,XGBoost,cat__feat_tk_confirmation_status_tk_cross_up_recent,0.01366294827312231
3,XGBoost,cat__feat_tk_confirmation_status_tk_mature_above_kijun_no_recent_cross,0.03145669400691986
3,XGBoost,cat__feat_chikou_diagnostic_status_chikou_libre_sobre_precio_y_kumo_22ago,0.0
3,XGBoost,cat__feat_chikou_diagnostic_status_chikou_no_confirmado_o_sin_historia,0.013586838729679585
3,XGBoost,cat__feat_chikou_diagnostic_status_chikou_parcial_sobre_close_22ago,0.010550505481660366
