feature_transformed,importance,fold,model
num__feat_volume_rel_daily,0.02552739344537258,3,XGBoost
num__feat_stoch_k_daily,0.03134461119771004,3,XGBoost
num__feat_stoch_d_daily,0.021462110802531242,3,XGBoost
num__feat_ret_5d_prior,0.022904502227902412,3,XGBoost
num__feat_ret_10d_prior,0.017598005011677742,3,XGBoost
num__feat_ret_20d_prior,0.02060851827263832,3,XGBoost
num__feat_volatility_20d_prior,0.02523493580520153,3,XGBoost
num__feat_dist_close_to_kijun_pct,0.029692206531763077,3,XGBoost
num__feat_dist_close_to_tenkan_pct,0.02146649733185768,3,XGBoost
num__feat_dist_close_to_kumo_top_pct,0.029414979740977287,3,XGBoost
num__feat_dist_close_to_kumo_bottom_pct,0.02827492542564869,3,XGBoost
num__feat_stoch_k_minus_d_daily,0.010041174478828907,3,XGBoost
num__feat_senkou_a_minus_b_pct,0.018238041549921036,3,XGBoost
num__feat_regime_breadth_precio_sobre_kumo,0.032689593732357025,3,XGBoost
num__feat_regime_breadth_kumo_actual_alcista,0.036038950085639954,3,XGBoost
num__feat_regime_breadth_kumo_futuro_alcista,0.04229393228888512,3,XGBoost
num__feat_regime_breadth_ha2_bullish,0.027099983766674995,3,XGBoost
num__feat_regime_breadth_tenkan_sobre_kijun,0.03226820379495621,3,XGBoost
num__feat_regime_breadth_chikou_sobre_kumo,0.04235123097896576,3,XGBoost
num__feat_regime_breadth_entry_events,0.029356544837355614,3,XGBoost
num__feat_regime_market_ret_5d_mean,0.02863280288875103,3,XGBoost
num__feat_regime_market_ret_20d_mean,0.030571933835744858,3,XGBoost
num__feat_regime_market_vol_20d_mean,0.062347207218408585,3,XGBoost
num__feat_regime_market_volume_rel_mean,0.04030308499932289,3,XGBoost
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_con_tk_cross,0.0,3,XGBoost
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_sin_tk_confirmado,0.0,3,XGBoost
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_tk_maduro,0.020783457905054092,3,XGBoost
cat__feat_tk_confirmation_status_no_tk_confirmation_yet,0.0,3,XGBoost
cat__feat_tk_confirmation_status_tk_cross_up_recent,0.0,3,XGBoost
cat__feat_tk_confirmation_status_tk_mature_above_kijun_no_recent_cross,0.021030161529779434,3,XGBoost
cat__feat_chikou_diagnostic_status_chikou_libre_sobre_precio_y_kumo_22ago,0.0,3,XGBoost
cat__feat_chikou_diagnostic_status_chikou_no_confirmado_o_sin_historia,0.0,3,XGBoost
cat__feat_chikou_diagnostic_status_chikou_parcial_sobre_close_22ago,0.0,3,XGBoost
